91039,"0137.2","1610-01-30T00:00:00Z","1610-08-08T00:00:00Z","Texel","Mauritius","Texel-Mauritius",1
91040,"0138.2","1610-01-30T00:00:00Z","1610-12-10T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91041,"0139.3","1610-01-30T00:00:00Z","1610-11-16T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91042,"0140.2","1610-01-30T00:00:00Z","1610-11-16T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91043,"0141.2","1610-01-30T00:00:00Z","1610-11-16T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91044,"0142.1","1610-01-30T00:00:00Z","1610-11-16T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91045,"0143.3","1610-12-28T00:00:00Z","1611-08-24T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91046,"0144.2","1610-12-28T00:00:00Z","1611-08-18T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91047,"0145.2","1610-12-28T00:00:00Z","1611-09-05T00:00:00Z","Wielingen","Bantam","Wielingen-Bantam",2
91048,"0146.2","1611-03-16T00:00:00Z","1612-02-02T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91049,"0147.2","1611-05-02T00:00:00Z","1612-03-02T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91050,"0148.2","1611-05-02T00:00:00Z","1612-02-02T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91051,"0149.1","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91052,"0150.3","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91053,"0151.1","1611-12-29T00:00:00Z","1612-10-24T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91054,"0152.2","1611-12-29T00:00:00Z","1612-11-28T00:00:00Z","Texel","Bantam","Texel-Bantam",3
91055,"le","1595-04-02T00:00:00Z","1596-06-06T00:00:00Z","Texel","Engano","Texel-Engano",4
91056,"Jan","1595-04-02T00:00:00Z","1596-06-06T00:00:00Z","Texel","Engano","Texel-Engano",4
91057,"texel","1595-04-02T00:00:00Z","1596-06-06T00:00:00Z","Texel","Engano","Texel-Engano",4
91058,"p","1595-04-02T00:00:00Z","1596-06-06T00:00:00Z","Texel","Engano","Texel-Engano",4
91059,"wel","1598-03-25T00:00:00Z","1599-03- T00:00:00Z","Zeeland","Bantam","Zeeland-Bantam",5
91060,"rio","1598-03-25T00:00:00Z","T00:00:00Z","Zeeland",\N,"Zeeland",6
91061,"Demerary","1598-03-25T00:00:00Z","1599-02- T00:00:00Z","Zeeland","Bantam","Zeeland-Bantam",5
91062,"d","1598-03-28T00:00:00Z","1599-06-30T00:00:00Z","Veere","Atjeh","Veere-Atjeh",7
91063,"v","1598-03-28T00:00:00Z","1599-06-30T00:00:00Z","Veere","Atjeh","Veere-Atjeh",7
91064,"e","1598-05-01T00:00:00Z","1598-12-27T00:00:00Z","Texel","Engano","Texel-Engano",4
91065,"Ridder","1598-05-01T00:00:00Z","1598-12-27T00:00:00Z","Texel","Engano","Texel-Engano",4
91066,"z","1598-05-01T00:00:00Z","1598-12-27T00:00:00Z","Texel","Engano","Texel-Engano",4
91067,"a","1598-05-01T00:00:00Z","1598-11-26T00:00:00Z","Texel","Bantam","Texel-Bantam",3
