"title","record_type","latitude","longitude"
"Amersfoort","fortification","-3.55","128.3"
"Amsterdam Hila","fortification","-3.582671","128.083173"
"Beeverwijk","fortification","-3.646295","128.765269"
"Duurstede","fortification","-3.573846","128.661911"
"Rotterdam Larike","fortification","-3.73333","127.933194"
"Wantrouw","fortification","-3.33834"," 127.5564"
"Zeelandia Oma/Haroeko","fortification","-3.60277","128.417459"
"Middelburg Ambon","fortification","-3.635","128.2375"
"Overburg","fortification","-3.375","127.9794444"
"Den Bosch","fortification","-3.216483","128.175644"
"Defensie","fortification","-3.416666667","127.1333333"
"Ontmoeting","fortification","-7.270832","110.410059"
"Belgica","fortification","-4.526072","129.898894"
"Nassouw Neira","fortification","-4.52822","129.897786"
"Kaap de Goede Hoop","fortification","-33.925694","18.427674"
"Batavia, kasteel","fortification","-6.127672","106.811354"
"Vredenburg","fortification","-7.800285","110.366015"
"Speelwijk","fortification","-6.030973","106.150679"
"Revenge","fortification","-4.518957","129.773855"
"Victoria","fortification","-3.700555556","128.1677778"
"Oostenburgh","fortification","8.540277778","81.23361111"
"Frederick","fortification","8.566666667","81.21666667"
"De Briel Saparoua","fortification","-1.61089","127.400723"
"Delfft Poorto","fortification","-3.562222222","128.5972222"
"Vrydenburg","fortification","0","0"
"Haarlem","fortification","-3.641472","127.968556"
"Hoorn","fortification","-3.517777778","128.4702778"
"Lyden","fortification","-3.601111111","128.1488889"
"Nootwijk omgeving Ambon eiland","fortification","0","0"
"Sonder Naam","fortification","-3.593829","128.026036"
"Velsen","fortification","-3.408888889","127.9169444"
"Vlissingen","fortification","0","0"
"Kuijlenburg","fortification","0","0"
"Hollandia","fortification","-4.549632"," 129.882731"
"Keyk in de pot","fortification","0","0"
"Dannex","fortification","-4.541421","129.952474"
"Voorzightigheid","fortification","-4.526872","129.907494"
"Watervlied","fortification","0","0"
"Wilhelmus Damar","fortification","-1.008201","128.363814"
"Zeezigt Banda","fortification","0","0"
"Delftshaven","fortification","-8.074167","127.151667"
"Diamand","fortification","-6.038175","106.155926"
"Jonge Petrus Albertus","fortification","0","0"
"Hollandia Terlucco","fortification","0.813967","127.388089"
"Valkenburg Lampon Toulang Bawang","fortification","0","0"
"Jacatra","fortification","-6.12864","106.809979"
"Meester Cornelis","fortification","0","0"
"Noortwijck","fortification","-6.167773","106.830801"
"Quaal","fortification","0","0"
"Rijswijk","fortification","-6.167574","106.809979"
"Chavonis","fortification","-33.90662","18.421893"
"Gelderland","fortification","13.41940","80.316321"
"Goet Begin","fortification","-6.891151","110.639677"
"Goet Gevolgh","fortification","-7.2","112.6333333"
"Hersteller","fortification","-7.325048","110.504986"
"Ramsdonk","fortification","-6.966666667","110.4833333"
"Veldwachter","fortification","-7.483333333","110.6666667"
"Purmerent, punt","fortification","0","0"
"Colombo, kasteel","fortification","6.934166667","79.84611111"
"Rotterdam, kasteel Ujung Pandang","fortification","-5.13418","119.405556"
"Mandasa","fortification","0","0"
"Valkenburgh schans Maros","fortification","-4.983333333","119.5833333"
"Voorzorg","fortification","0","0"
"Waekzaemheyd","fortification","0","0"
"Victoria Malabaar","fortification","0","0"
"Vreede Malabaar","fortification","0","0"
"Wilhelmus Chowghat","fortification","10.525102","76.042137"
"Zeeborg","fortification","8.881128","76.568086"
"Cronenburg","fortification","-1.35","100.566667"
"Vredenborg Priaman","fortification","-0.6","100.15"
"Amsterdam Manado","fortification","1.533333333","124.9166667"
"Den Briel Obi","fortification","-1.520913","127.411702"
"Doornenburg","fortification","2.745672","125.36057"
"Oranje Ternate","fortification","0.8","127.3833333"
"Zeelandia Formosa","fortification","23.0018","120.160903"
"Zeven Provincieën","fortification","0","0"
"Gustavus","fortification","22.890784","88.391999"
"Vijfhoek","fortification","0","0"
"Barneveld","fortification","-0.624097","127.481784"
"Duinhoop","fortification","0","0"
"Frederik Hendrik Mauritius","fortification","-20.37521","57.722747"
"Coornhoop","fortification","0","0"
"Pijl","fortification","0","0"
"Vijf Sinnen","fortification","10.75","79.83333333"
"fort Provintia","fortification","22.9971","120.20225"
"Zoutelande","fortification","-6.116666667","106.7833333"
"Nieuwendam","fortification","0","0"
"Zevenhoek","fortification","0","0"
"Wilgenburg","fortification","0","0"
"Belvidere","fortification","-7.233333333","112.75"
"Providentie","fortification","-7.233333333","112.75"
"Concordia","fortification","-10.14679","123.639382"
"Hollandia Saparua/Honimoa","fortification","-3.583796","128.68687"
"Hardenberg","fortification","-3.349778","127.942815"
"Storm","fortification","-4.566722","129.920694"
"Nassau Moti","fortification","0.479092","127.418098"
"Verwachting de","fortification","-2.05","125.9833333"
"Starfort","fortification","5.95","80.53333333"
"Altingburg","fortification","3.341437","101.244892"
