"ID";"Place";"DecLatitude";"DecLongitude";"ModernName";"Dutch"
"67";"Anjengo";"8.67";"76.78";"Anjengo, Kerala, SW India";NULL
"68";"Anjengo Road";"8.66666666666667";"76.7833333333333";"Anjengo, Kerala, SW India";NULL
"69";"Anjer";"-6.017";"105.9207";"Anyar, Java, Indonesia";NULL
"70";"Anjer bij Batavia";"-6.017";"105.9207";"Anyar, Java, Indonesia";NULL
"71";"Anjoxa";"-16.2378";"39.9013";"Angoche";NULL
"72";"Anna Bona";"-1.43";"5.62";"Pagalu or Annobon (Island W Afr. Coast)";NULL
"73";"Anna Maria (Noahiwa)";"-8.85";"-140.1";"Nuku Hiva";NULL
"74";"Annabon Island";"-1.43";"5.62";"Pagalu or Annobon (Island W Afr. Coast)";NULL
"75";"Annabona";"-1.43";"5.62";"Pagalu or Annobon (Island W Afr. Coast)";NULL
"76";"Annamaboa";"-1.43";"5.62";"Pagalu or Annobon (Island W Afr. Coast)";NULL
"77";"Annamboe";"-1.43";"5.62";"Pagalu or Annobon (Island W Afr. Coast)";NULL
"78";"Antegua";"17.0451";"-61.8487";"Antigua, Windward Islands, Carib.";NULL
"79";"Antigua";"17.0451";"-61.8487";"Antigua, Windward Islands, Carib.";NULL
"80";"Antugue";"17.0451";"-61.8487";"Antigua, Windward Islands, Carib.";NULL
"81";"Appam";"5.2851";"-0.7282";"Apam";NULL
"82";"Aquadilla, Porto Rico";"18.4605";"-67.1403";"Aguadilla, Puerto Rico";NULL
"83";"Aquita of Quita";"5.9106";"0.9919";"Keta, Ghana, Africa";NULL
"84";"Arika";"-18.48";"-70.3242";"Arica, Chile";NULL
"85";"Armagon";"13.9";"80.2";"Armagon, India";NULL
"86";"Arramoora";"12.6";"43.9167";"Ra's al 'Ara";NULL
"87";"Ascension";"-7.95";"-14.37";NULL;NULL
"88";"Ascension Island";"-7.95";"-14.37";NULL;NULL
"89";"Ascention";"-7.95";"-14.37";NULL;NULL
"90";"Assine";"5.15";"-3.4167";"Rivière Assinie";NULL
"1";"Atooi";"22.0808";"-159.5016";"Kauai, Hawaiian Island";NULL
"2";"Atwoods Keys";"23.0833";"-73.75";"Samana Cay";NULL
"3";"Augustine";"-8.35";"-34.95";"Cabo de Santo Agotinho";NULL
"4";"Avatscha";"52.9407";"158.6087";"Avacha, Rusia";NULL
"5";"Avery Island";"-23.6359";"43.5924";"Nosy Vé";NULL
"6";"Avery's Island";"-23.6359";"43.5924";"Nosy Vé";NULL
"7";"Axim";"4.8679";"-2.2444";NULL;NULL
"8";"Azim";"4.8679";"-2.2444";NULL;NULL
"9";"Baai Fals";"-34.2";"18.6";"False Bay";"Valse Baai"
"10";"Baai Falso";"-34.2";"18.6";"False Bay";"Valse Baai"
"11";"Baai Morte";"51.1666666666667";"-4.233";"Morte Bay, Devon, England";NULL
"12";"Baai St Anna";"12.1171";"-68.9234";"St Anna-baai, Curacao, W.I.";NULL
"13";"Baai van Granada";"12.2115";"-61.6055";"Grenada Bay, Grenada";NULL
"14";"Baai van Massachusets";"42.4";"-70.8";"Massachusetts Bay, USA";NULL
"15";"Baai van Porto Praia/St. Jago";"14.9267";"-23.5221";"Porto Praia, Cape Verdes";NULL
"16";"Baaij Arioka";"-18.4667";"-70.3249";"Arica Bay, Chile";NULL
"17";"Baaij Falso";"-34.2";"18.6";"False Bay";"Valse Baai"
"18";"Baaij te Karakokoa (Kealakekua Bay, bij Napoopoo)";"19.4773";"-155.9265";"Kealakekua Bay, Hawaiian islands, USA";NULL
"19";"Baaij van La Lus (grand Canarien)";"28.1312";"-15.4233";"Probably Puerto de la Luz, Las Palmas de Gran Canaria, Gran Canaria, Canary Islands";NULL
"20";"Babelmandel Isl. (Perim I. Red Sea)";"12.651";"43.4218";NULL;NULL
"21";NULL;"0";"0";NULL;NULL
"22";"2e hoek van Java";"-6.65";"105.3704";NULL;NULL
"23";"3e hoek van Java";"-6.4745";"105.6689";NULL;NULL
"24";"4e hoek van Java";"-6.0667";"105.8833";"Tanjung Ampat";NULL
"25";"Abrolhos";"-18";"-38.6666";"Arquipelago dos Abrolhos";NULL
"26";"Acapulco";"16.8453";"-99.8777";"Acapulco, Mexico";NULL
"27";"Accra";"5.5469";"-0.1826";"Accra, Ghana";NULL
"28";"Accra, W African coast";"5.5469";"-0.1826";"Accra, Ghana";NULL
"29";"Accraw";"5.5469";"-0.1826";"Accra, Ghana";NULL
"30";"Accraw Castle";"5.5469";"-0.1826";"Accra, Ghana";NULL
"31";"Acheen";"5.5569";"95.2261";"Banda Aceh, Sumatra, Indonesia";NULL
"32";"Acheen Head";"5.5569";"95.2261";"Banda Aceh, Sumatra, Indonesia";NULL
"33";"Achin Head, N tip Sumatra (Banda Aceh)";"5.5569";"95.2261";"Banda Aceh, Sumatra, Indonesia";NULL
"34";"Achin Road";"5.622983333";"95.36141667";NULL;NULL
"35";"Achlins Island Bahamas";"22.4394";"-73.9647";"Acklins Island, Bahamas";NULL
"36";"Aden (Gulf of?)";"12.7853";"44.9389";NULL;NULL
"37";"Adiera D'Natall";"-30.6";"30.55";NULL;NULL
"38";"Adria Dira";"-30.6";"30.55";NULL;NULL
"39";"Aguadilla";"18.4605";"-67.1403";"Aguadilla, Puerto Rico";NULL
"40";"Aguilas";"37.406";"-1.5822";"Aguilas, Spain";NULL
"41";"Akijab";"20.1287";"92.8873";"Sittwe, Burma";NULL
"42";"Alderney";"49.7125";"-2.2";NULL;NULL
"43";"Algiers";"36.7433";"3.0889";"Alger, Algeria";NULL
"44";"Algoa";"-33.9";"25.7";"Algoa Bay, South Africa";NULL
"45";"Algoa Baai";"-33.9";"25.7";"Algoa Bay, South Africa";NULL
"46";"Alicante";"38.3487";"-0.4781";"Alicante, Spain";NULL
"47";"Aller Heilige Baai";"-12.85";"-38.6";"Bahia de Todos los Santos, Brazil";NULL
"48";"Allerheiligen Baai";"-12.85";"-38.6";"Bahia de Todos los Santos, Brasil";NULL
"49";"Allerheiligen Baaij";"-12.85";"-38.6";"Bahia de Todos los Santos, Brasil";NULL
"50";"Allicanten";"38.3487";"-0.4781";"Alicante, Spain";NULL
"51";"Almeria";"36.8342";"-2.4631";"Almeria, Spain";NULL
"52";"Alrad, St Christoffel";"17.3154";"-62.7863";"Old Road Town, St. Kitts, W.I.";NULL
"53";"Altea";"38.5998";"-0.0476";"Altea, Spain";NULL
"54";"Amboina";"-3.7";"128.1689";"Ambon, Indonesia";NULL
"55";"Ambon";"-3.7";"128.1689";"Ambon, Indonesia";NULL
"56";"Amselly, Morro del Ancia Norte";"25.0748";"-14.8291";"Morro del Ancla, Western Sahara";NULL
"57";"Amsterdam";"-37.8421";"77.5375";"Ile Amsterdam";NULL
"58";"Amsterdam eiland";"-37.8421";"77.5375";"Ile Amsterdam";NULL
"59";"Amsterdam NL";"52.3667";"4.9";NULL;NULL
"60";"Andaman islands (Bay of Bengal. estim.)";"12.95";"92.86";"Andaman Islands, India";NULL
"61";"Angora Island";"-16.3543";"39.8744";"Ilhas de Angoche";NULL
"62";"Angroston";"38.6549";"-27.2176";"Angra do Heroismo, Terceira, Azores";NULL
"63";"Anguilla";"18.2167";"-63.0417";NULL;NULL
"64";"Anjanga";"8.67";"76.78";"Anjengo, Kerala, SW India";NULL
"65";"Anjango";"8.67";"76.78";"Anjengo, Kerala, SW India";NULL
"66";"Anjango Road";"8.66666666666667";"76.7833333333333";"Anjengo, Kerala, SW India";NULL
"91";"Baceleau Island";"48.1304";"-52.8005";"Baccalieu Island";NULL
"92";"Back Bay, Trincomalee";"8.5811";"81.2363";NULL;NULL
"93";"Bahamas";"26.5118";"-78.6631";NULL;NULL
"94";"Bahia";"-13.0167";"-38.5333";"Forte de San Antonio de Barra";NULL
"95";"Bahia de Todos los Santos";"-12.85";"-38.6";"Bahia de Todos los Santos, Brasil";NULL
"96";"Bali";"-8.3421";"115.5078";"Goenoeng Agung";NULL
"97";"Ballasore (Ballashwar), Bengal";"21.4902";"86.9499";"Balasore";NULL
"98";"Baltimore harbour";"51.4835";"-9.3799";NULL;NULL
"99";"Bananas";"8.106";"-13.225";"Banana Island";NULL
"100";"Banda";"-4.5399";"129.9385";"Banda Besar, Indonesia";NULL
"101";"Bandidan, Penida, between Bali & Lombok";"-8.742";"115.5339";"Pulau Penida";NULL
"102";"Banguey";"7.2498";"117.1724";"Pulau Banggi";NULL
"103";"Banjoewangie";"-8.2096";"114.383";"Banjuwangi, Java, Indonesia";NULL
"104";"Bank of Pannacel";"-16.3333";"43.9667";NULL;NULL
"105";"Bantam";"-6.0316";"106.1638";"Banten, Java, Indonesia";NULL
"106";"Barbados";"13.201";"-59.5843";NULL;NULL
"107";"Barbados (Bridgetown, Carlisle Bay)";"13.0918";"-59.6162";NULL;NULL
"108";"Barbados (Carlisle Bay)";"13.0918";"-59.6162";"Carlisle Bay, Barbados";NULL
"109";"Barbuda";"17.6467";"-61.7672";NULL;NULL
"110";"Barcaleau";"48.1304";"-52.8005";"Baccalieu Island";NULL
"111";"Barcelona";"41.3738";"2.1763";"Barcelona, Spain";NULL
"112";"Baroes";"2.0071";"98.3931";"Barus, Sumatra, Indonesia";NULL
"113";"Bassas";"-21.4808";"39.7333";"Bassas da India, Mozambique Channel";NULL
"114";"Basse Terre";"15.9958";"-61.7263";"Basse-Terre";NULL
"115";"Batavia";"-6.1304";"106.7991";"Jakarta, Java, Indonesia";NULL
"116";"Batowia Road";"-6.0667";"106.8";"Jakarta, Java, Indonesia";NULL
"117";"Bay of Bulls";"47.3094";"-52.8043";"Bay Bulls";NULL
"118";"Bay of Success";"-54.8";"-65.25";"Bahia Buen Suceso";NULL
"119";"Beachy Head, Sussex, UK";"50.7372";"0.2488";NULL;NULL
"120";"Bear island, Hudson Bay";"54.3507";"-81.0925";NULL;NULL
"121";"Bell Isle, Bay of Biscay";"47.3306";"-3.1908";"Belle Isle (France)";NULL
"122";"Bellazoor";"21.4902";"86.9499";"Balasore";NULL
"123";"Belle Island";"47.3306";"-3.1908";"Belle Isle (France)";NULL
"124";"Belle Isle, NWFL";"51.9392";"-55.3563";NULL;NULL
"125";"Bencolen (Bengkulu), Sumatra";"-3.7915";"102.2492";"Bengkulu, Sumatra, Indonesia";NULL
"126";"Bencoolen";"-3.7915";"102.2492";"Bengkulu, Sumatra, Indonesia";NULL
"127";"Bengal";"21.6";"87.97";NULL;NULL
"128";"Bengal road (Tamluk, Sillabati)";"22.282";"87.9383";"Tamluk";NULL
"129";"Benidorm";"38.5351";"-0.1314";"Benidorm, Spain";NULL
"130";"Benkulen";"-3.7915";"102.2492";"Bengkulu, Sumatra, Indonesia";NULL
"131";"Berbiecie rivier";"6.2973";"-57.5286";"River Berbice, Guyana";NULL
"132";"Berby Point";"4.6447";"-6.9172";"Grand Bereby (?)";NULL
"133";"Bergen";"60.3885";"5.3046";"Bergen";NULL
"134";"Bermuda";"32.3";"-64.7833";NULL;NULL
"135";"Bermudas";"32.3";"-64.7833";NULL;NULL
"136";"Bintang Hill";"1.0724";"104.4564";"Gunung Bintang";NULL
"137";"Bird Island, French Polynesia";"-17.85";"-143.08";"Reitoru";NULL
"138";"Bird Island, Seycelle Islands";"-3.7189";"55.2063";NULL;NULL
"139";"Black Island";"41.1692";"-71.5788";"Block Island";NULL
"140";"Blaskets, Irish W coast";"52.0901";"-10.5413";NULL;NULL
"141";"Block Island";"41.1692";"-71.5788";"Block Island";NULL
"142";"Bocht van Anjer";"-6.05";"105.9";NULL;NULL
"143";"Bocht van Bantam";"-6";"106.15";"Teluk Banten, Java, Indonesia";NULL
"144";"Bocht van Indermaijo, noord-java";"-6.2339";"108.2834";"Pelabuan Indramaju";NULL
"145";"Bocht van Samarang";"-6.9";"110.4";NULL;NULL
"146";"Boeton";"-5.4527";"122.619";"Baubau";NULL
"147";"Boids Island";"47.8414";"-61.1488";NULL;NULL
"148";"Bombarrick";"25.63";"57.77";"Jask, Iran";NULL
"149";"Bombay";"19.0333";"72.85";"Mumbay";NULL
"150";"Bombay Harbour";"19.0333";"72.8266";"Mumbay";NULL
"151";"Bombay hook";"39.2583";"-75.4081";"Bombay Hook, Maryland, USA";NULL
"152";"Bombay Road";"19.0333";"72.8266";"Mumbay";NULL
"153";"Bombay, India";"19.0333";"72.85";"Mumbay";NULL
"154";"Bona Vista";"16.0456";"-22.7569";"Boa Vista, Cape Verdes (Punta Tarafo)";NULL
"155";"Bonavista";"16.0456";"-22.7569";"Boa Vista, Cape Verdes (Punta Tarafo)";NULL
"156";"Booby Island";"-4.2585";"55.6734";"Booby Rock, Seychelles";NULL
"157";"Bordeaux";"44.8386";"-0.5854";"Bordeaux, France";NULL
"158";"Borneo";"-4.15";"114.7";NULL;NULL
"159";"Boston";"42.32";"-70.9333";NULL;NULL
"160";"Boston Entrance";"42.32";"-70.9333";NULL;NULL
"161";"Boston Lighthouse";"42.3279";"-70.8901";"Boston Harbour Light";NULL
"162";"Botany Bay (Aus)";"-33.9678";"151.1683";NULL;NULL
"163";"Bottewa";"5.1038";"-9.1992";NULL;NULL
"164";"Bourbon (Reunion Is?)";"-21.0955";"55.4805";"Bourbon, Ile de (Reunion), Madagascar";NULL
"165";"Bouro";"-3.2";"126.6";"Pulau Buru";NULL
"166";"Bow Island";"-18.25";"-140.92";"Hao";NULL
"167";"Braamspunt";"5.9528";"-55.1557";"Braamspunt, Surinam";NULL
"168";"Brabands Hoedje";"-6";"105.933333333333";"Pulau Leneng, Java, Indonesia";NULL
"169";"Bramspunt";"5.9528";"-55.1557";"Braamspunt, Suriname";NULL
"170";"Brandwacht";"5.9834";"-57.6333";"On the River Berbice, Guyana";NULL
"171";"Brandwagt";"5.9834";"-57.6333";"On the River Berbice, Guyana";NULL
"172";"Brava";"14.8611";"-24.7136";"Brava, Cabo Verde, Africa";NULL
"173";"Bravo (Brava) island, near Palma";"14.8611";"-24.7136";"Brava, Cabo Verde, Africa";NULL
"174";"Brazen Head (Madeira)";"30.1469";"-15.8659";"Ilha Selvagem Grande";NULL
"175";"Brest";"48.353199005127";"-4.48649978637695";NULL;NULL
"176";"Bretts Harbour";"-51.3333";"-60.2";NULL;NULL
"177";"Brissel";"64.7888";"-14.0103";"probably Breidhdalsvik";NULL
"178";"Brissell Harbour";"64.7888";"-14.0103";"probably Breidhdalsvik";NULL
"179";"Brizell harbour";"64.7888";"-14.0103";"probably Breidhdalsvik";NULL
"180";"Brouwershaven";"51.7273";"3.9124";NULL;NULL
"181";"Brunet Bay";"47.2674";"-55.9069";"Brunette Island, Newfoundland, Canada";NULL
"182";"Buenos Aires";"-34.6307";"-58.3362";NULL;NULL
"183";"Buffels Punt";"-34.0877";"22.9593";NULL;NULL
"184";"Bunguran";"3.9692";"108.3377";"Pulau Bunguran Besar";NULL
"185";"Burton Island";"60.678";"-64.5996";NULL;NULL
"186";"Button Island";"60.678";"-64.5996";NULL;NULL
"187";"Button Islands";"60.678";"-64.5996";NULL;NULL
"188";"Buttons Islands";"60.678";"-64.5996";NULL;NULL
"189";"Buttons Islands HB";"60.678";"-64.5996";NULL;NULL
"190";"Byron's Bay, Labrador";"54.6488";"-57.68";NULL;NULL
"191";"Byrons Island";"-1.347";"176.4531";"Nikunau";NULL
"192";"Caabo Goede Hoop";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
"193";"Caap de Goede Hoop";"-34.3569";"18.4966";"Cape of Good Hope, South Africa";NULL
