"id","titleofplace","latitude","longitude"
"0","JAVA","",""
"1","Volk Rijk"."-6.614261","105.753021"
"2","Schoone Rijsvelden","-6.580032","105.920563"
"3","Hoog en Stijl Gebergte","-6.811898","106.508331"
"4","Laag Land","-6.787353","105.788727"
"5","Sand Bocht","-6.970049","106.571503"
"6","Bosschagie met veel Wilt","-6.967323","106.736298"
"7","Rijs Landt","-7.130872","106.708832"
"8","Riviertie","-7.269843","106.403961"
"9","Wijnkoopers bergen","-7.313433","106.678619"
"10","Wijnkoopers bergen","-7.441454","107.378998"
"11","Hoog gebergte","-7.305261","107.584991"
"12","Bosschagie met veel Wilt","-7.561269","108.134308"
"13","Swaer en hoog Gebergte","-6.738259","107.628937"
"14","Seer hoog Geberte","-7.092716","108.400726"
"15","Rijs Velden","-7.027298","108.870392"
"16","Bosschagie met veel Wilt","-7.144499","110.030823"
"17","Rijs Velden","-7.547656","109.926453"
"18","Hoog gebergte binnens Landts","-7.683773","109.882507"
"19","Seer hoog Gebergte","-7.427837","110.404358"
"20","Seer hoog Gebergte","-7.297088","111.579895"
"21","Bosschagie met veel Wilt","-7.465964","111.459045"
"22","Bosschagie met veel Wilt","-7.525873","112.348938"
"23","Rijs Velden","-7.640220","112.250061"
"24","Hoog Gebergte","-7.346123","112.453308"
"25","Hoog Gebergte","-7.852499","112.491760"
"26","Hoog en Stijl Gebergte","-7.950437","112.980652"
"27","Bergachtigh Land","-7.939556","113.540955"
"28","Seer hoog Gebergte","-8.080985","114.040833"
"29","Seer hoog Gebergte","-8.363693","113.804626"
"30","Dit allemaal Laag Land","-8.595958","114.307938"
"31","Laag Land","-8.608179","114.167862"
"32","SUMATRA","",""
"33","Berge L'amtaba de Souffre","5.523726","95.242195"
"34","Berg Monapin","-2.038907","105.161476"
"35","Berg Perusang","-2.740044","106.037292"
"36"
