"jaar","Amboina","Banda","Bandjermasin","Bantam","Batavia","Bengalen","Ceylon","Cheribon","Coromandel","Nagasaki","Java's Noord-Oost-kust","Kaap de Goede Hoop","Macassar","Malabar","Malacca","Mokka","Palembang","Perzie","Rio de Lagoa","Siam",Sumatra's Westkust,"Surat","Ternate","Timor","Pontiana(k)"
1700,919,784,0,310,3853,162,2966,64,514,10,1017,544,834,690,468,0,93,0,0,31,226,106,564,49,0
1701,914,808,0,322,4431,164,2886,58,535,11,1083,0,825,0,414,0,85,0,0,0,0,0,0,53,0
1702,911,790,0,330,3854,177,2880,71,514,10,1259,510,821,0,508,0,75,0,0,0,246,0,565,48,0
1703,910,807,0,321,4268,155,3173,70,558,0,1155,556,817,780,491,0,87,44,0,28,386,213,568,54,0
1704,922,894,0,327,3423,166,3114,213,597,10,1184,0,778,755,539,0,85,0,0,17,430,107,641,56,0
1705,919,794,0,321,3815,0,3029,308,743,9,2633,0,685,0,503,0,94,47,0,0,470,0,642,53,0
1706,886,743,0,310,3677,197,3100,265,642,10,3662,0,802,0,495,0,85,0,0,0,412,0,555,44,0
1708,820,690,0,303,3568,184,2826,75,0,10,4178,0,768,0,446,0,65,0,0,0,23,0,561,39,0
1709,874,695,0,350,3574,164,2743,63,696,10,1732,588,759,1295,444,0,72,28,0,30,378,36,646,37,0
1710,856,733,0,324,3468,172,2705,60,640,10,1101,500,821,1775,435,0,77,27,0,25,390,0,656,0,0
1711,879,759,0,347,3615,165,3423,61,579,10,1026,723,792,1029,585,10,83,29,0,34,454,147,647,32,0
1712,907,767,0,341,3898,180,2888,61,526,10,1093,618,749,991,618,17,79,25,0,16,452,114,735,33,0
1713,923,749,0,349,4093,180,2789,64,664,11,885,567,752,1024,590,18,100,29,0,36,543,92,852,36,0
1714,953,778,0,352,4161,161,2766,57,652,11,929,636,869,1029,593,15,86,33,0,38,558,88,754,37,0
1715,1003,739,0,353,3778,131,2636,60,675,11,924,699,847,1452,632,15,81,29,0,37,559,66,731,35,0
1716,971,760,0,357,3721,135,2573,59,588,11,901,697,795,2841,544,21,77,30,0,36,493,70,693,36,0
1717,969,736,0,359,3389,126,2566,61,572,11,975,729,711,3931,547,15,81,46,0,39,552,185,643,35,0
1718,903,681,0,355,3583,114,3168,60,561,11,2982,741,689,2667,537,16,70,29,0,40,497,66,653,34,0
1719,959,738,0,371,3474,110,2955,58,560,10,1476,721,703,1309,522,17,67,27,0,42,579,175,664,45,0
1720,1048,825,0,387,4478,142,2804,85,454,10,2340,800,770,1297,582,11,75,28,0,38,488,178,905,67,0
1721,1070,831,0,370,4147,222,3084,89,595,11,1683,794,908,1272,611,14,124,28,37,42,656,182,887,52,0
1722,1131,906,0,384,4711,0,3214,91,580,11,1878,1087,921,1256,590,16,136,30,0,35,566,175,901,44,0
1723,1140,909,0,375,5837,0,3153,93,583,10,1654,814,899,1234,725,16,118,171,0,39,511,57,965,43,0
1724,1089,937,0,379,6164,223,3263,92,634,10,1901,829,986,1300,728,18,106,136,83,41,502,68,1103,42,0
1725,1071,980,0,378,6714,233,3379,87,624,11,1387,731,990,1285,612,19,98,0,120,59,36,67,874,42,0
1726,1059,960,0,380,5909,569,3371,91,674,12,1482,787,978,1432,619,16,94,93,197,48,36,205,876,46,0
1727,1073,1005,0,381,4960,552,3524,98,714,11,1426,981,977,1545,615,8,106,120,204,52,38,191,899,46,0
1728,1069,1029,0,383,4759,548,3650,100,780,12,1607,941,979,1555,627,0,90,92,184,46,708,183,931,35,0
1729,1102,992,0,413,4774,580,3392,103,777,11,1712,863,939,1572,606,8,107,144,192,49,667,153,865,52,0
1730,1049,873,0,413,4999,620,3392,113,762,13,1619,919,907,1535,592,14,107,0,145,48,711,190,823,50,0
1731,1015,824,0,0,4866,697,3278,114,618,11,1497,1000,867,1664,606,10,96,160,0,46,567,211,844,44,0
1732,1036,905,0,421,5215,630,3409,113,705,10,1360,1016,878,1674,622,5,111,174,0,45,686,91,957,52,0
1733,1021,884,26,450,4465,566,3367,108,724,11,1376,877,864,1624,631,4,134,155,0,47,576,93,1390,49,0
1734,1053,892,38,468,4442,455,3434,109,728,11,1201,1112,1087,1573,619,16,100,165,0,45,751,89,1329,44,0
1735,1098,877,0,430,5431,439,3416,102,688,13,1146,1070,931,1635,623,13,118,123,0,43,556,210,979,48,0
1736,1082,806,0,410,5011,412,3656,87,704,11,1107,1035,1110,1652,562,13,111,133,0,45,699,221,983,49,0
1737,1072,907,0,421,4600,411,3972,93,714,12,1232,1294,1795,1678,576,11,114,137,0,44,719,103,1091,47,0
1738,1101,927,0,356,5127,339,3918,89,694,12,1162,1062,2004,1644,622,11,104,127,0,43,610,208,1043,44,0
1739,1087,857,0,457,5160,348,3797,93,709,11,1193,981,2116,1881,587,0,91,114,0,46,654,214,1070,52,0
1740,1125,836,0,459,5628,383,3212,94,701,11,1118,1141,2261,2342,648,0,94,114,0,44,623,214,1029,45,0
1741,1097,756,0,501,5552,391,3387,82,936,11,847,1211,2042,2575,632,0,119,100,0,0,593,297,894,47,0
1742,1072,0,0,485,4483,378,3639,0,802,11,0,1205,984,3234,583,0,113,92,0,0,723,291,828,47,0
1743,1054,731,0,426,4967,341,4279,80,795,11,0,1070,890,2769,553,0,105,0,0,0,577,0,931,49,0
