place,1700,1701,1702,1703,1704,1705,1706,1708,1709,1710,1711,1712,1713,1714,1715,1716,1717,1718,1719,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739,1740,1741,1742,1743,1744,1745,1746,1747,1748,1749,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789
Amboina,919,914,911,910,922,919,886,820,874,856,879,907,923,953,1003,971,969,903,959,1048,1070,1131,1140,1089,1071,1059,1073,1069,1102,1049,1015,1036,1021,1053,1098,1082,1072,1101,1087,1125,1097,1072,1054,1008,900,917,911,906,955,949,0,893,864,844,834,936,985,1030,965,1002,946,0,947,1055,1102,1093,1039,1215,1189,1149,1266,1189,1247,1274,1190,1117,1072,1062,1017,1042,1043,1388,1444,1349,1381,1125,1115,1153,1085
Banda,784,808,790,807,894,794,743,690,695,733,759,767,749,778,739,760,736,681,738,825,831,906,909,937,980,960,1005,1029,992,873,824,905,884,892,877,806,907,927,857,836,756,0,731,702,627,608,632,629,567,587,639,577,646,638,575,568,616,592,597,693,0,659,592,548,599,583,562,578,561,610,620,482,470,513,510,515,511,511,514,497,495,570,568,568,585,602,583,607,608
Bandjermasin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,38,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,0,0,43,68,59,43,49,0,0,56,60,57,0,0,53,47,44,45,0,43,43,55,52,54,53,39,32,34,37,44,39,46,51,37,46,57,251,268,315,385
Bantam,310,322,330,321,327,321,310,303,350,324,347,341,349,352,353,357,359,355,371,387,370,384,375,379,378,380,381,383,413,413,0,421,450,468,430,410,421,356,457,459,501,485,426,421,396,398,439,422,436,403,1429,515,429,505,455,458,405,264,262,279,223,302,0,0,302,311,319,317,307,333,309,259,217,198,259,327,282,252,224,209,199,244,233,236,247,250,257,239,240
Batavia,3853,4431,3854,4268,3423,3815,3677,3568,3574,3468,3615,3898,4093,4161,3778,3721,3389,3583,3474,4478,4147,4711,5837,6164,6714,5909,4960,4759,4774,4999,4866,5215,4465,4442,5431,5011,4600,5127,5160,5628,5552,4483,4967,4653,3880,4852,5800,4846,5219,6306,5585,4372,4860,5582,6831,5049,5430,5070,4637,4578,8183,4562,0,5253,5023,5052,5644,5490,5237,5822,5056,4441,4058,4126,4810,4830,4221,3721,3111,3283,3446,3275,2978,3612,4234,4259,4245,4194,4410
Bengalen,162,164,177,155,166,0,197,184,164,172,165,180,180,161,131,135,126,114,110,142,222,0,0,223,233,569,552,548,580,620,697,630,566,455,439,412,411,339,348,383,391,378,341,257,242,244,261,305,353,544,520,491,440,430,361,0,336,345,408,448,874,0,322,334,325,313,346,330,320,347,316,237,202,244,202,200,203,204,188,205,89,0,0,0,125,149,156,148,166
Ceylon,2966,2886,2880,3173,3114,3029,3100,2826,2743,2705,3423,2888,2789,2766,2636,2573,2566,3168,2955,2804,3084,3214,3153,3263,3379,3371,3524,3650,3392,3392,3278,3409,3367,3434,3416,3656,3972,3918,3797,3212,3387,3639,4279,0,3733,3903,4205,3969,3788,4042,4079,4380,4652,4530,4280,4185,4545,3769,3817,3904,43,0,5632,6628,6323,5670,4734,4745,4595,4527,4401,4361,4227,4075,4205,4072,3811,3815,3695,3784,3862,4281,4124,3707,4882,4898,4693,4459,3568
Cheribon,64,58,71,70,213,308,265,75,63,60,61,61,64,57,60,59,61,60,58,85,89,91,93,92,87,91,98,100,103,113,114,113,108,109,102,87,93,89,93,94,82,0,80,84,92,96,0,0,114,117,0,110,148,129,110,0,107,120,123,123,0,0,0,93,80,98,0,94,97,93,100,93,100,86,91,97,98,101,0,77,78,66,62,79,76,85,80,86,90
Coromandel,514,535,514,558,597,743,642,0,696,640,579,526,664,652,675,588,572,561,560,454,595,580,583,634,624,674,714,780,777,762,618,705,724,728,688,704,714,694,709,701,936,802,795,766,722,705,665,657,970,0,792,815,789,1028,796,754,726,758,928,1091,1127,0,950,950,918,1254,875,915,914,880,901,962,1043,1285,1174,1168,1175,1031,946,775,0,0,0,0,0,191,0,0,0
